Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
9/10/2016,Kentucky @ Florida,Kentucky-Florida09-10-2016,Kentucky,Florida,UK,UF,1.6,2500000,CBS,UK@UF09-10-2016
11/12/2016,South Carolina @ Florida,South Carolina-Florida11-12-2016,South Carolina,Florida,SCAR,UF,1.5,2450000,CBS,SCAR@UF11-12-2016
12/3/2016,Alabama vs. Florida ,Alabama-Florida12-03-2016,Alabama,Florida,UA,UF,6.6,11090000,CBS,UA@UF12-03-2016
9/26/2015,Tennessee @ Florida,Tennessee-Florida09-26-2015,Tennessee,Florida,TENN,UF,2.9,4640000,CBS,TENN@UF09-26-2015
12/5/2015,Alabama vs. Florida ,Alabama-Florida12-05-2015,Alabama,Florida,UA,UF,7.8,12760000,CBS,UA@UF12-05-2015
11/1/2014,Georgia @ Florida,Georgia-Florida11-01-2014,Georgia,Florida,UGA,UF,4,5711000,CBS,UGA@UF11-01-2014
9/21/2013,UT @ UF,Tennessee-Florida09-21-2013,Tennessee,Florida,TENN,UF,2.8,4544000,CBS,TENN@UF09-21-2013
11/2/2013,UGA / FLA,Georgia-Florida11-02-2013,Georgia,Florida,UGA,UF,3.1,4918000,CBS,UGA@UF11-02-2013
10/6/2012,LSU @ UF,LSU-Florida10-06-2012,LSU,Florida,LSU,UF,4.6,7130000,CBS,LSU@UF10-06-2012
10/20/2012,USC @ UF,South Carolina-Florida10-20-2012,South Carolina,Florida,SCAR,UF,3.1,4910000,CBS,SCAR@UF10-20-2012
10/27/2012,UGA @ UF,Georgia-Florida10-27-2012,Georgia,Florida,UGA,UF,4.2,6630000,CBS,UGA@UF10-27-2012
9/17/2011,UT @ FLA,Tennessee-Florida09-17-2011,Tennessee,Florida,TENN,UF,3,4620000,CBS,TENN@UF09-17-2011
10/1/2011,ALA @ FLA,Alabama-Florida10-01-2011,Alabama,Florida,UA,UF,4.6,7590000,CBS,UA@UF10-01-2011
10/29/2011,UGA @ FLA,Georgia-Florida10-29-2011,Georgia,Florida,UGA,UF,3.2,5020000,CBS,UGA@UF10-29-2011
10/30/2010,UGA vs FLA,Georgia-Florida10-30-2010,Georgia,Florida,UGA,UF,3.3,5480000,CBS,UGA@UF10-30-2010
9/24/2009,UT @ FLA,Tennessee-Florida09-24-2009,Tennessee,Florida,TENN,UF,4.3,N/A,CBS,TENN@UF09-24-2009
10/17/2009,ARK @ FLA,Arkansas-Florida10-17-2009,Arkansas,Florida,AR,UF,4.3,N/A,CBS,AR@UF10-17-2009
11/28/2009,FSU @ FLA,Florida State-Florida11-28-2009,Florida State,Florida,FSU,UF,4.7,N/A,CBS,FSU@UF11-28-2009
12/6/2009,ALA vs FLA,Alabama-Florida12-06-2009,Alabama,Florida,UA,UF,11.1,N/A,CBS,UA@UF12-06-2009
10/11/2008,LSU @ FLA,LSU-Florida10-11-2008,LSU,Florida,LSU,UF,3.8,N/A,CBS,LSU@UF10-11-2008
11/1/2008,UGA vs. FLA,Georgia-Florida11-01-2008,Georgia,Florida,UGA,UF,3.8,N/A,CBS,UGA@UF11-01-2008
11/15/2008,USC @ FLA,South Carolina-Florida11-15-2008,South Carolina,Florida,SCAR,UF,3.3,N/A,CBS,SCAR@UF11-15-2008
9/15/2007,UT @ FLA,Tennessee-Florida09-15-2007,Tennessee,Florida,TENN,UF,2.6,N/A,CBS,TENN@UF09-15-2007
11/24/2007,FSU @ FLA,Florida State-Florida11-24-2007,Florida State,Florida,FSU,UF,3.7,N/A,CBS,FSU@UF11-24-2007
9/30/2006,AL @ UF,Alabama-Florida09-30-2006,Alabama,Florida,UA,UF,3.4,N/A,CBS,UA@UF09-30-2006
10/7/2006,LSU @ UF,LSU-Florida10-07-2006,LSU,Florida,LSU,UF,3.4,N/A,CBS,LSU@UF10-07-2006
10/28/2006,UGA vs. UF,Georgia-Florida10-28-2006,Georgia,Florida,UGA,UF,3.5,N/A,CBS,UGA@UF10-28-2006
11/11/2006,USC @ UF,South Carolina-Florida11-11-2006,South Carolina,Florida,SCAR,UF,3.9,N/A,CBS,SCAR@UF11-11-2006
9/17/2005,UT @ UF,Tennessee-Florida09-17-2005,Tennessee,Florida,TENN,UF,4,N/A,CBS,TENN@UF09-17-2005
10/29/2005,UGA vs. UF,Georgia-Florida10-29-2005,Georgia,Florida,UGA,UF,3.4,N/A,CBS,UGA@UF10-29-2005
11/26/2005,FSU @ FLA,Florida State-Florida11-26-2005,Florida State,Florida,FSU,UF,3.8,N/A,CBS,FSU@UF11-26-2005
10/2/2004,Arkansas @ Florida,Arkansas-Florida10-02-2004,Arkansas,Florida,AR,UF,2,N/A,CBS,AR@UF10-02-2004
10/30/2004,Georgia vs. Florida,Georgia-Florida10-30-2004,Georgia,Florida,UGA,UF,2.9,N/A,CBS,UGA@UF10-30-2004
9/20/2003,Tennessee @ Florida,Tennessee-Florida09-20-2003,Tennessee,Florida,TENN,UF,3.8,N/A,CBS,TENN@UF09-20-2003
11/1/2003,Georgia vs. Florida,Georgia-Florida11-01-2003,Georgia,Florida,UGA,UF,3.7,N/A,CBS,UGA@UF11-01-2003
